bin,count,llama8b,SmolLM2-135M-Instruct_no_hint,SmolLM2-135M-Instruct_with_hint,SmolLM2-135M-Instruct_improvement,SmolLM2-360M-Instruct_no_hint,SmolLM2-360M-Instruct_with_hint,SmolLM2-360M-Instruct_improvement,SmolLM2-1.7B-Instruct_no_hint,SmolLM2-1.7B-Instruct_with_hint,SmolLM2-1.7B-Instruct_improvement
0-0.1,10,0.0359,0.0000,0.0000,0.0000,0.0000,0.0400,0.0400,0.0000,0.0800,0.0800
0.1-0.2,10,0.1422,0.0000,0.0600,0.0600,0.0000,0.1000,0.1000,0.0600,0.3600,0.3000
0.2-0.3,10,0.2437,0.0000,0.1800,0.1800,0.0000,0.2600,0.2600,0.1000,0.5600,0.4600
0.3-0.4,10,0.3516,0.0000,0.2200,0.2200,0.0000,0.3200,0.3200,0.1200,0.5200,0.4000
0.4-0.5,10,0.4516,0.0000,0.1800,0.1800,0.0000,0.3000,0.3000,0.0800,0.4600,0.3800
0.5-0.6,10,0.5500,0.0000,0.2600,0.2600,0.0000,0.1800,0.1800,0.2200,0.5000,0.2800
0.6-0.7,10,0.6516,0.0000,0.1200,0.1200,0.0000,0.1600,0.1600,0.2000,0.5000,0.3000
0.7-0.8,10,0.7500,0.0000,0.1800,0.1800,0.0000,0.2000,0.2000,0.1600,0.6600,0.5000
0.8-0.9,10,0.8609,0.0000,0.2200,0.2200,0.0000,0.4200,0.4200,0.2200,0.7200,0.5000
0.9-1,10,0.9531,0.0000,0.2200,0.2200,0.0000,0.4800,0.4800,0.4200,0.6600,0.2400
